Step,Time_stamp,Bacteria_Count,Glucose_Count,Metabolite_Count,Growth_Rate,Average_ATP,Min_ATP,Max_ATP,Total_ATP,ATP_StdDev,Total_Metabolites_Produced,Avg_Metabolites_Per_Bacteria,Avg_Metabolite_Concentration,Avg_Bacteria_X,Avg_Bacteria_Y,Bacteria_Spatial_Std,Avg_Glucose_X,Avg_Glucose_Y,Glucose_Spatial_Std,Glucose_Per_Bacteria,ATP_Per_Glucose,Metabolites_Per_Glucose,ATP_Per_Bacteria,Metabolites_Per_Bacteria
36,2025-06-20 17:09:09.099570,36,141,755,1.000,111.26,109.50,173.00,4005.50,10.44,636,17.67,0.272,0.000011,0.000011,0.000012,0.000010,0.000008,0.000013,3.92,28.41,5.35,111.26,17.67
37,2025-06-20 17:09:09.099802,35,135,756,0.972,110.70,109.00,168.50,3874.50,9.91,619,17.69,0.271,0.000011,0.000011,0.000012,0.000010,0.000008,0.000013,3.86,28.70,5.60,110.70,17.69
38,2025-06-20 17:09:09.100043,35,124,757,1.000,110.09,108.50,164.00,3853.00,9.25,620,17.71,0.270,0.000011,0.000011,0.000012,0.000009,0.000008,0.000013,3.54,31.07,6.10,110.09,17.71
39,2025-06-20 17:09:09.100286,35,121,758,1.000,109.47,108.00,159.50,3831.50,8.58,621,17.74,0.269,0.000011,0.000011,0.000012,0.000008,0.000008,0.000013,3.46,31.67,6.26,109.47,17.74
40,2025-06-20 17:09:09.100528,35,170,759,1.000,108.86,107.50,155.00,3810.00,7.91,622,17.77,0.268,0.000011,0.000011,0.000012,0.000009,0.000010,0.000013,4.86,22.41,4.46,108.86,17.77
41,2025-06-20 17:09:09.100763,35,163,760,1.000,108.24,107.00,150.50,3788.50,7.25,623,17.80,0.267,0.000011,0.000011,0.000012,0.000010,0.000011,0.000013,4.66,23.24,4.66,108.24,17.80
42,2025-06-20 17:09:09.101003,34,159,761,0.971,107.66,106.50,146.00,3660.50,6.67,606,17.82,0.266,0.000011,0.000011,0.000012,0.000010,0.000010,0.000013,4.68,23.02,4.79,107.66,17.82
43,2025-06-20 17:09:09.101236,34,156,762,1.000,107.04,106.00,141.50,3639.50,6.00,607,17.85,0.265,0.000011,0.000011,0.000012,0.000010,0.000009,0.000013,4.59,23.33,4.88,107.04,17.85
44,2025-06-20 17:09:09.101471,34,152,763,1.000,106.43,105.50,137.00,3618.50,5.32,608,17.88,0.264,0.000011,0.000011,0.000012,0.000010,0.000008,0.000013,4.47,23.81,5.02,106.43,17.88
45,2025-06-20 17:09:09.101706,34,146,764,1.000,105.81,105.00,132.50,3597.50,4.65,609,17.91,0.263,0.000011,0.000011,0.000012,0.000010,0.000007,0.000012,4.29,24.64,5.23,105.81,17.91
